Timestamp,Source,Level,Line
16:53:14.7940,Scanner,Normal,"Scanner On."
16:53:14.8450,Scanner,Normal,"Device Scanned."
16:53:14.8450,RSSI,Normal,"-69 dBm"
16:53:14.8450,Advertising Interval,Normal,"49.96 ms"
16:53:14.8890,RSSI,Normal,"-64 dBm"
16:53:14.8890,Advertising Interval,Normal,"44.92 ms"
16:53:14.9310,RSSI,Normal,"-71 dBm"
16:53:14.9310,Advertising Interval,Normal,"41.15 ms"
16:53:14.9780,RSSI,Normal,"-72 dBm"
16:53:14.9780,Advertising Interval,Normal,"47.89 ms"
16:53:15.0310,RSSI,Normal,"-68 dBm"
16:53:15.0310,Advertising Interval,Normal,"52.08 ms"
16:53:15.1130,RSSI,Normal,"-75 dBm"
16:53:15.1130,Advertising Interval,Normal,"81.98 ms"
16:53:15.2510,RSSI,Normal,"-68 dBm"
16:53:15.2510,Advertising Interval,Normal,"138.08 ms"
16:53:15.3030,RSSI,Normal,"-68 dBm"
16:53:15.3030,Advertising Interval,Normal,"52.12 ms"
16:53:15.3890,RSSI,Normal,"-70 dBm"
16:53:15.3890,Advertising Interval,Normal,"86.02 ms"
16:53:15.4310,RSSI,Normal,"-76 dBm"
16:53:15.4310,Advertising Interval,Normal,"42.26 ms"
16:53:15.4720,RSSI,Normal,"-73 dBm"
16:53:15.4720,Advertising Interval,Normal,"40.74 ms"
16:53:15.5240,RSSI,Normal,"-80 dBm"
16:53:15.5240,Advertising Interval,Normal,"52.16 ms"
16:53:15.5240,RSSI,Normal,"-79 dBm"
16:53:15.5240,Advertising Interval,Normal,"52.24 ms"
16:53:15.6120,RSSI,Normal,"-76 dBm"
16:53:15.6120,Advertising Interval,Normal,"87.56 ms"
16:53:15.6600,RSSI,Normal,"-70 dBm"
16:53:15.6600,Advertising Interval,Normal,"48.19 ms"
16:53:15.7040,RSSI,Normal,"-72 dBm"
16:53:15.7040,Advertising Interval,Normal,"44.31 ms"
16:53:15.7500,RSSI,Normal,"-74 dBm"
16:53:15.7500,Advertising Interval,Normal,"46.08 ms"
16:53:15.9450,RSSI,Normal,"-73 dBm"
16:53:15.9450,Advertising Interval,Normal,"134.88 ms"
16:53:15.9470,RSSI,Normal,"-75 dBm"
16:53:15.9470,Advertising Interval,Normal,"41.01 ms"
16:53:15.9470,RSSI,Normal,"-68 dBm"
16:53:15.9470,Advertising Interval,Normal,"41.27 ms"
16:53:15.9470,RSSI,Normal,"-68 dBm"
16:53:15.9470,Advertising Interval,Normal,"41.51 ms"
16:53:15.9680,RSSI,Normal,"-72 dBm"
16:53:15.9680,Advertising Interval,Normal,"41.66 ms"
16:53:16.0200,RSSI,Normal,"-74 dBm"
16:53:16.0200,Advertising Interval,Normal,"51.65 ms"
16:53:16.0650,RSSI,Normal,"-67 dBm"
16:53:16.0650,Advertising Interval,Normal,"45.27 ms"
16:53:16.1060,RSSI,Normal,"-75 dBm"
16:53:16.1060,Advertising Interval,Normal,"40.91 ms"
16:53:16.1070,RSSI,Normal,"-75 dBm"
16:53:16.1070,Advertising Interval,Normal,"41.03 ms"
16:53:16.1570,RSSI,Normal,"-81 dBm"
16:53:16.1570,Advertising Interval,Normal,"50.21 ms"
16:53:16.2470,RSSI,Normal,"-80 dBm"
16:53:16.2470,Advertising Interval,Normal,"89.47 ms"
16:53:16.2900,RSSI,Normal,"-73 dBm"
16:53:16.2900,Advertising Interval,Normal,"43.68 ms"
16:53:16.3390,RSSI,Normal,"-76 dBm"
16:53:16.3400,Advertising Interval,Normal,"49.35 ms"
16:53:16.3820,RSSI,Normal,"-66 dBm"
16:53:16.3820,Advertising Interval,Normal,"42.66 ms"
16:53:16.4280,RSSI,Normal,"-66 dBm"
16:53:16.4280,Advertising Interval,Normal,"46.36 ms"
16:53:16.4720,RSSI,Normal,"-72 dBm"
16:53:16.4720,Advertising Interval,Normal,"43.42 ms"
16:53:16.5210,RSSI,Normal,"-64 dBm"
16:53:16.5210,Advertising Interval,Normal,"49.10 ms"
16:53:16.5680,RSSI,Normal,"-73 dBm"
16:53:16.5680,Advertising Interval,Normal,"46.87 ms"
16:53:16.6610,RSSI,Normal,"-69 dBm"
16:53:16.6610,Advertising Interval,Normal,"92.69 ms"
16:53:16.7000,RSSI,Normal,"-75 dBm"
16:53:16.7000,Advertising Interval,Normal,"39.85 ms"
16:53:16.7910,RSSI,Normal,"-84 dBm"
16:53:16.7910,Advertising Interval,Normal,"90.72 ms"
16:53:16.8320,RSSI,Normal,"-76 dBm"
16:53:16.8320,Advertising Interval,Normal,"40.82 ms"
16:53:16.8830,RSSI,Normal,"-68 dBm"
16:53:16.8830,Advertising Interval,Normal,"40.44 ms"
